version,metric,length,r,low,high,partial_amp,partial_low,partial_high
v1,mse,7,0.3513864518304008,-0.17142051467657388,0.5348894388253966,0.1858029342731168,-0.2266710549019019,0.3901464001582212
v1,cmse,7,0.2518919545858135,-0.15226129954167472,0.3818754967458805,-0.24032133979106893,-0.5368552811963744,0.09296901390570662
v1,proxy,7,0.31958490838584364,-0.24091420410628472,0.48459037252278836,0.05854152242844695,-0.4429815478387176,0.3354823184065315
v1,T,7,0.8493600056112346,0.4724499206091193,0.8810204814801106,0.8240588160720697,0.4482933157077856,0.8675134732917771
v2,mse,7,0.004953683091777667,-0.4383632241818005,0.3331860364860057,-0.14984524165547708,-0.5009838116573341,0.17647432938720942
v2,cmse,7,-0.10819817108124057,-0.4880857317302298,0.2025540255973055,-0.6069952626870904,-0.7212993254328153,-0.1510942711136977
v2,proxy,7,-0.16533442057147182,-0.5177251598197716,0.12410922530691473,-0.3608218667811831,-0.6643938771738568,0.02289033755204445
v2,T,7,0.7766565547232157,0.19681062738170382,0.8521945065567473,0.7128486643098285,0.14220913743078686,0.8072398355019871
v1,mse,1,0.3513864518304008,-0.03849926566574621,0.5250431799725158,0.1858029342731168,-0.14636284699001734,0.3949330314881655
v1,cmse,1,0.2518919545858135,-0.1213286748272096,0.44331171937159286,-0.24032133979106893,-0.5603855826675931,0.09281490981686051
v1,proxy,1,0.31958490838584364,-0.15785730421377664,0.5201926846805218,0.05854152242844695,-0.4239075733652014,0.36284046446906587
v1,T,1,0.8493600056112346,0.5031695528632355,0.8898941764550168,0.8240588160720697,0.4243177976531352,0.8716251056362615
v2,mse,1,0.004953683091777667,-0.38561431998177503,0.31280297158343656,-0.14984524165547708,-0.49740842147064707,0.21336296357481996
v2,cmse,1,-0.10819817108124057,-0.457508853723193,0.21502565774646257,-0.6069952626870904,-0.7519737530353424,-0.10895549095923501
v2,proxy,1,-0.16533442057147182,-0.5136330570201346,0.19003782471703695,-0.3608218667811831,-0.6824609363127965,0.09758913210511753
v2,T,1,0.7766565547232157,0.2857801323763996,0.8672603750261108,0.7128486643098285,0.24307609220430054,0.8359259269733108
v1,mse,3,0.3513864518304008,-0.10385968767322494,0.5332019286926878,0.1858029342731168,-0.1825483481336102,0.3881246774211025
v1,cmse,3,0.2518919545858135,-0.11362564628653131,0.39511853214062087,-0.24032133979106893,-0.5553461500847627,0.0858639204853098
v1,proxy,3,0.31958490838584364,-0.16198910789017307,0.48165106631192517,0.05854152242844695,-0.41993512561362767,0.33437145016410297
v1,T,3,0.8493600056112346,0.4833908810939159,0.8852594495528809,0.8240588160720697,0.432512711418957,0.8692570916114685
v2,mse,3,0.004953683091777667,-0.4202772341127843,0.32128065282787255,-0.14984524165547708,-0.48929562061250026,0.1928108549714885
v2,cmse,3,-0.10819817108124057,-0.4767597228387491,0.21948713451031876,-0.6069952626870904,-0.7414736021716897,-0.10836446565731504
v2,proxy,3,-0.16533442057147182,-0.5260860408442586,0.15654422181187314,-0.3608218667811831,-0.6733611476131247,0.06983178771126886
v2,T,3,0.7766565547232157,0.22479705398798805,0.8540196386642644,0.7128486643098285,0.20273833423194404,0.8137153865368719
