version,model,T,T_round10
v1,lgb_contextual,0.7270043680893293,0.7270138950009009
v1,transformer_contextual,0.704230801195564,0.7042347312413448
v1,catboost_contextual,0.7454739909652744,0.745488374806435
v1,xgboost_contextual,0.7227307554073777,0.7227406412758579
v1,lgb_baseline,0.7138709147740703,0.7138804648356807
v1,lstm_contextual,0.5666675738267057,0.5666738099360996
v1,dlinear_prevday,0.655373067736113,0.6553804427842519
v1,catboost_full,0.6760155856670663,0.6760290004699054
v1,xgboost_full,0.6808023198882396,0.6808211179988762
v1,dlinear_contextual,0.6772415823548003,0.6772512788986249
v1,lgb_full,0.7389023132945866,0.7389169929477912
v1,hgb_full,0.7221011586443513,0.7221191340466522
v1,lgb_temporal,0.7237827731639399,0.7237993024746161
v1,ridge_contextual_a1,0.771878524972321,0.7718832518267991
v1,ridge_temporal_a1,0.7490453458019452,0.7490548942995677
v1,climatology_weekday_slot,0.6817346210252597,0.6817422946985365
v2,lgb_contextual,0.7263388525264798,0.7263477915299785
v2,transformer_contextual,0.7647449185694871,0.7647527271492223
v2,xgboost_contextual,0.735629797791861,0.7356406894779196
v2,lstm_contextual,0.7339543831738533,0.7339687055374609
v2,catboost_contextual,0.7678320714122564,0.7678425456234309
v2,lgb_baseline,0.7138709147740703,0.7138804648356807
v2,lgb_full,0.7474125541423616,0.7474256466275846
v2,xgboost_full,0.7136948671774874,0.7137094998295653
v2,catboost_full,0.7121762976022912,0.7121882573310435
v2,catboost_temporal,0.7182934569092042,0.7183028044496192
v2,dlinear_contextual,0.7272467964042764,0.7272568708997593
v2,hgb_full,0.7298495901046659,0.7298637470028482
v2,lgb_temporal,0.7326572932746219,0.7326718896213814
v2,dlinear_prevday,0.6568700263460384,0.6568741163098412
v2,xgboost_temporal,0.7242025979888382,0.7242194690676584
v2,ridge_contextual_a1,0.769409309588212,0.7694139227045776
v2,ridge_temporal_a1,0.763316854504411,0.7633271270059153
v2,climatology_weekday_slot,0.6817346210252597,0.6817422946985365
v2,blend_lgb_transformer,0.7692969028222749,0.7693056996554696
