source,model,rmse,original_rmse,centered_rmse,proxy,T,amplitude,realized,oracle
holdout_rmse_v1,lgb_contextual,0.5209800243244649,0.52098,0.43008894289062644,62.276401504249684,0.7270114495667823,0.8483848298398247,5497.75539089771,9000.886095779735
holdout_rmse_v1,transformer_contextual,0.5195576699847868,0.514318,0.4353925385672844,55.10280411737966,0.7042296397850517,0.7127486894545253,5637.171401873099,9000.886095779735
holdout_rmse_v1,catboost_contextual,0.521146531158913,0.521147,0.4130187806292361,58.120301283377664,0.745488471966946,0.7699924702684999,5864.898620404672,9000.886095779735
holdout_rmse_v1,xgboost_contextual,0.527721370545497,0.527721,0.4206676100404374,62.51979853343721,0.7227443950614217,0.7951778192637776,5834.402085832271,9000.886095779735
holdout_rmse_v1,lgb_baseline,0.5625259685360955,0.562526,0.43992715352535305,70.53022310664151,0.7138855802886681,0.7733419995396524,5786.1008710125425,9000.886095779735
holdout_rmse_v1,lstm_contextual,0.5528080180991081,0.573845,0.45686646431422795,62.74915672195718,0.5666563239857164,0.7784876504149464,4554.389778014749,9000.886095779735
holdout_rmse_v1,dlinear_prevday,0.6325180020094672,0.632518,0.4617344484309047,72.88552996459688,0.6553789474069742,0.6591148403483591,5226.0254087597,9000.886095779735
holdout_rmse_v1,catboost_full,0.632752884726531,0.632753,0.4652685916872803,70.66914718001122,0.6760099778175024,0.9340360946389796,5603.548559199593,9000.886095779735
holdout_rmse_v1,xgboost_full,0.649118808775802,0.649119,0.48206103812761625,73.79586820716449,0.6808062511153532,1.0431434772448072,6017.215970293911,9000.886095779735
holdout_rmse_v1,dlinear_contextual,0.6000206874172418,0.655333,0.4843932427614835,79.43852438495814,0.6772479463604024,1.0261092958227296,5897.53712815716,9000.886095779735
holdout_rmse_v1,lgb_full,0.6684313640509626,0.668431,0.4942159089279258,73.37978359429655,0.738907458042588,1.1344264724243083,6124.493486539138,9000.886095779735
holdout_rmse_v1,hgb_full,0.6959835407126083,0.695984,0.4761758367831544,68.61029798312704,0.7220999451530203,1.0392683910997191,6077.358591321797,9000.886095779735
holdout_rmse_v1,lgb_temporal,0.7183926007000243,0.718393,0.4995595086636709,77.72771215259324,0.7237897065966648,1.138463653858337,5820.208628719994,9000.886095779735
