date,reference,headline,baseline,single_seed_average,oracle,paired_gain,ensemble_increment,cumulative_gain,same_window_as_reference
2025-11-03,5376.501505044559,13361.719716678786,13361.719716678786,13361.719716678786,13361.719716678786,7985.218211634227,0.0,7985.218211634227,False
2025-11-04,6846.478374227628,7164.614557958074,6878.291992600669,6971.120949651378,7323.682649823298,318.13618373044665,193.49360830669593,8303.354395364673,False
2025-11-05,2007.875165910832,5567.383215282827,3227.9624254973064,5281.060649925425,5662.824070401962,3559.508049371995,286.3225653574018,11862.862444736667,False
2025-11-06,-166.61428214330965,175.96748594498558,-2285.127668670081,79.64793868638776,922.5949328182957,342.58176808829523,96.31954725859782,12205.444212824963,False
2025-11-07,4142.355807499034,4387.743790095839,4451.612810341565,3199.9607148777222,6793.7950222018635,245.38798259680516,1187.7830752181171,12450.832195421768,False
2025-11-08,7172.7556628997345,7849.316796668253,7835.09929061734,7717.487524854031,8037.637510627493,676.5611337685186,131.829271814222,13127.393329190287,False
2025-11-09,12531.327012629246,12217.29478566892,11334.988619158248,12330.194954551183,12573.171464875311,-314.0322269603257,-112.90016888226273,12813.361102229961,False
2025-11-10,10524.530328381261,10667.923850474082,10272.995954714781,10235.432979229357,11155.171685390125,143.3935220928215,432.490871244725,12956.754624322783,False
2025-11-11,7331.006144772772,7321.35389295839,4973.317975317451,7271.63684270973,7485.846206756217,-9.652251814381998,49.71705024865969,12947.102372508401,False
2025-11-12,9731.957653853597,9644.906049899433,10139.003356851192,9585.803982230727,10483.503486127383,-87.05160395416351,59.102067668705786,12860.050768554238,False
2025-11-13,9330.03394341406,9537.757783219018,9261.017479715578,9496.213015258027,9537.757783219018,207.7238398049576,41.54476796099152,13067.774608359196,False
2025-11-14,3738.0619824907076,3738.0619824907076,2313.2509073118513,3738.061982490707,3791.572488594169,0.0,4.547473508864641e-13,13067.774608359196,False
2025-11-15,8164.637475172686,8046.599406923178,7954.3876340689085,7924.779971993851,8345.596517840402,-118.03806824950789,121.81943492932714,12949.736540109687,False
2025-11-16,8914.175868127131,7319.7663934015745,9219.58660450836,5556.765102014639,9645.889090707162,-1594.4094747255567,1763.001291386936,11355.32706538413,False
2025-11-17,7088.074173514365,6579.056279545648,6960.819700022187,5006.961513019312,7342.5831204987235,-509.01789396871663,1572.0947665263357,10846.309171415414,False
2025-11-18,9064.488852216095,9092.720257160334,10104.393321423157,9197.068925423922,10104.393321423157,28.23140494423933,-104.34866826358848,10874.540576359654,False
2025-11-19,8716.931434214255,8716.931434214255,8282.793253810174,8716.931434214255,10200.934927737997,0.0,0.0,10874.540576359654,False
2025-11-20,8526.049723975988,8462.422487229898,6392.437594169369,8462.422487229898,8685.117815841211,-63.62723674608969,0.0,10810.913339613564,False
2025-11-21,6683.354046019838,7103.440151188545,7103.440151188545,6796.5475364635,7103.440151188545,420.08610516870704,306.89261472504495,11230.999444782272,False
2025-11-22,6264.524578776868,6122.938070207633,2126.702211895992,5990.951639118647,6264.524578776868,-141.58650856923487,131.98643108898614,11089.412936213037,False
2025-11-23,4067.7051519866845,4276.81288419087,1737.2971602862501,4790.220421222699,6269.694291762487,209.1077322041856,-513.4075370318287,11298.520668417223,False
2025-11-24,8438.969487765287,9558.070778550207,4894.496554436396,9049.984387327455,10017.17946801529,1119.10129078492,508.08639122275235,12417.621959202143,False
2025-11-25,545.2186103154031,93.46522941816815,29.185813495431255,393.30221986044,1565.2300239538,-451.75338089723493,-299.8369904422718,11965.868578304908,False
2025-11-26,4878.472034861892,6342.47748787634,7142.682249451696,5726.150350318242,7918.575043866373,1464.005453014448,616.327137558098,13429.874031319356,False
2025-11-27,2603.254308315015,2810.892251350366,2081.762294582229,2737.6273970543466,3235.7981197025892,207.63794303535133,73.26485429601962,13637.511974354707,False
2025-11-28,2509.264154193692,1903.0270238387889,4083.7742106269097,2235.528328809401,6405.093051558167,-606.237130354903,-332.5013049706122,13031.274843999805,False
2025-11-29,4895.606849717615,3167.3447570493086,556.617429778465,4729.217171720018,5801.283300285127,-1728.2620926683062,-1561.8724146707095,11303.012751331498,False
2025-11-30,10816.630246835208,10816.630246835208,9035.067617944702,10523.944957803196,10816.630246835208,0.0,292.6852890320115,11303.012751331498,False
2025-12-01,4366.495474384481,6052.617248155855,3658.3497802952056,2969.6727481054972,7602.92350373086,1686.1217737713741,3082.944500050358,12989.134525102872,False
2025-12-02,6566.330832196431,6089.1265566007605,6215.23573983151,6433.986179764565,7113.5250682128,-477.2042755956709,-344.8596231638048,12511.9302495072,False
2025-12-03,8323.956894623057,8323.956894623057,7684.503165324859,8279.114963253884,9007.2147950591,0.0,44.841931369173835,12511.9302495072,False
2025-12-04,2163.32604936704,477.2042755956711,11210.775527582533,5194.4588905350565,11898.293271518727,-1686.121773771369,-4717.254614939386,10825.808475735832,False
2025-12-05,3632.4248626830126,4102.203839750415,4130.9251744176,4051.3796755823737,4598.152699291483,469.77897706740214,50.82416416804108,11295.587452803235,False
2025-12-06,36.47113210285835,472.4481396489006,118.74751193922673,393.2290485381819,1382.2635419667454,435.9770075460423,79.2190911107187,11731.564460349276,False
2025-12-07,10816.630246835208,10816.630246835208,10148.544261001269,10829.355694184425,15016.027872077113,0.0,-12.725447349217575,11731.564460349276,False
2025-12-08,6320.3383908505375,6304.841977341028,6967.63735843953,6982.412239084339,7915.851798133639,-15.496413509509694,-677.5702617433108,11716.068046839766,False
2025-12-09,9957.662550763,8335.168013737719,10466.680444731715,9575.899130286463,10593.934918223893,-1622.4945370252808,-1240.7311165487445,10093.573509814485,False
2025-12-10,4094.027739828541,4094.027739828541,4094.027739828541,4792.3061220432355,7441.205337455161,0.0,-698.2783822146944,10093.573509814485,True
2025-12-11,6984.88670232139,6984.88670232139,3660.0486275163266,6463.779633370919,25769.030882166222,0.0,521.1070689504704,10093.573509814485,False
2025-12-12,-2340.480183277341,-5922.655435740127,-12064.46852572849,-6217.4525127597435,9467.73282781811,-3582.1752524627864,294.79707701961615,6511.398257351699,False
2025-12-13,3713.209183817685,3713.209183817685,1374.9527724646198,3713.209183817685,4825.562806145682,0.0,0.0,6511.398257351699,False
2025-12-14,1623.8338903587862,2664.708674926226,2664.708674926226,2664.708674926226,3981.935636852956,1040.87478456744,0.0,7552.273041919138,False
2025-12-15,11961.920508264817,11834.666034772637,11802.852416399592,11739.225179653502,11961.920508264817,-127.25447349217939,95.44085511913545,7425.018568426959,False
2025-12-16,9162.322091436881,9257.762946556015,8557.86334234903,9429.556485770456,9575.899130286462,95.44085511913363,-171.7935392144409,7520.459423546093,False
2025-12-17,6873.443597160619,6873.443597160619,2304.059952963879,6835.267255112965,7365.352127168311,0.0,38.176342047653634,7520.459423546093,False
2025-12-18,516.1091495040673,615.304011591221,-2655.053241750007,651.5435405523236,4304.280762294158,99.19486208715364,-36.23952896110268,7619.654285633246,False
2025-12-19,7920.216626574421,8079.284718439643,5512.845129305916,7836.305663026045,8844.185907706433,159.0680918652224,242.97905541359796,7778.722377498469,False
2025-12-20,9223.693742640322,9223.69374264032,9223.69374264032,9230.056466314927,9255.507361013364,-1.8189894035458565e-12,-6.362723674606968,7778.722377498467,False
2025-12-21,5987.322977807017,5987.322977807017,7005.358765744449,5987.322977807017,7005.358765744449,0.0,0.0,7778.722377498467,False
2025-12-22,2380.838939545384,698.3534623540535,60.71629066495565,1128.6173803126644,4748.357517077977,-1682.4854771913306,-430.26391795861093,6096.236900307136,False
2025-12-23,9658.535004010446,10434.86682635867,10307.61235286649,10073.432308022508,10434.86682635867,776.3318223482238,361.434518336162,6872.56872265536,False
2025-12-24,9596.444365031773,9596.444365031773,8058.854012720475,9434.908808925535,9825.502417317695,0.0,161.5355561062388,6872.56872265536,True
2025-12-25,11001.750510786114,11028.066735904298,11031.703032484338,10946.314644498718,11095.330269230428,26.316225118183866,81.75209140558036,6898.884947773544,False
2025-12-26,2984.7250435025207,3082.6091845127035,2708.3474152485314,2942.5535472595793,7346.620268670262,97.8841410101827,140.05563725312413,6996.769088783727,False
2025-12-27,1991.5865933038335,1991.5865933038335,4667.888150765198,2038.4175120936902,7411.580496026182,0.0,-46.830918789856696,6996.769088783727,True
2025-12-28,11694.320257319949,9542.195782982059,9232.986500567087,10187.412867384719,11889.188213940359,-2152.12447433789,-645.2170844026605,4844.644614445837,False
2025-12-29,11056.107259138302,11056.1072591383,11098.158499903793,10969.590760245173,12388.222994463616,-1.8189894035458565e-12,86.51649889312648,4844.644614445835,False
2025-12-30,3499.4980210349204,27836.916076414134,9098.694854690792,10084.917024255179,31559.10942606037,24337.418055379214,17751.999052158957,29182.06266982505,False
2025-12-31,4135.770388495814,3244.9890740505616,3563.1252577810064,3397.6944422411752,22576.10161322132,-890.7813144452521,-152.70536819061363,28291.281355379797,False
