source,model,family,n_days,rmse_same_prediction,rmse_original_table,mae_same_prediction,centered_rmse,realized_mean,predicted_mean,oracle_mean,capture_aggregate,capture_daily_mean,listwise_proxy,amplitude_ratio,window_spearman
holdout_rmse_v1,lgb_contextual,lgb,59,0.5209800243244649,0.52098,0.35087445639872944,0.43008894289062644,5497.75539089771,8387.833402325894,9000.886095779735,0.6108015735779008,0.6143922922702675,62.276401504249684,0.8483848298398247,0.7270043680893293
holdout_rmse_v1,transformer_contextual,transformer,59,0.5195576699847868,0.514318,0.36059499842161835,0.4353925385672844,5637.171401873098,6627.052077423718,9000.886095779735,0.6262907164791487,0.571034557301776,55.10280411737966,0.7127486894545253,0.704230801195564
holdout_rmse_v1,catboost_contextual,catboost,59,0.521146531158913,0.521147,0.3467926392710478,0.4130187806292361,5864.898620404673,8029.654081373738,9000.886095779735,0.6515912497942353,0.652099431042816,58.120301283377664,0.7699924702684999,0.7454739909652746
holdout_rmse_v1,xgboost_contextual,xgboost,59,0.527721370545497,0.527721,0.3682058495732881,0.4206676100404374,5834.402085832272,8346.097696609539,9000.886095779735,0.6482030795354539,0.6565056107897618,62.519798533437196,0.7951778192637776,0.7227307554073779
holdout_rmse_v1,lgb_baseline,lgb,59,0.5625259685360955,0.562526,0.40508780495494523,0.43992715352535305,5786.1008710125425,8402.830520957974,9000.886095779735,0.6428368062257208,0.5850752851528909,70.53022310664151,0.7733419995396524,0.7138709147740703
holdout_rmse_v1,lstm_contextual,lstm,59,0.5528080180991081,0.573845,0.37572499432523626,0.45686646431422795,4554.389778014749,6349.921473885996,9000.886095779735,0.5059934910353077,0.48780150260096833,62.749156721957185,0.7784876504149464,0.5666675738267057
holdout_rmse_v1,dlinear_prevday,dlinear,59,0.6325180020094672,0.632518,0.4387458817663774,0.4617344484309047,5226.025408759701,7613.35144886526,9000.886095779735,0.5806123256253669,0.5578042775927838,72.88552996459688,0.6591148403483591,0.6553730677361129
holdout_rmse_v1,catboost_full,catboost,59,0.632752884726531,0.632753,0.4931036401648977,0.4652685916872803,5603.548559199593,8221.281717456215,9000.886095779735,0.622555212850315,0.6081126704924205,70.66914718001121,0.9340360946389796,0.6760155856670663
holdout_rmse_v1,xgboost_full,xgboost,59,0.649118808775802,0.649119,0.4956442048491985,0.48206103812761625,6017.215970293911,9701.660517157228,9000.886095779735,0.6685137336773116,0.6555624673341716,73.79586820716449,1.0431434772448072,0.6808023198882397
holdout_rmse_v1,dlinear_contextual,dlinear,59,0.6000206874172418,0.655333,0.41782434402454827,0.4843932427614835,5897.53712815716,9450.763275562707,9000.886095779735,0.655217393643316,0.6556031184322391,79.43852438495816,1.0261092958227296,0.6772415823548003
holdout_rmse_v1,lgb_full,lgb,59,0.6684313640509626,0.668431,0.5033800209159787,0.4942159089279258,6124.493486539138,10660.815270901956,9000.886095779735,0.6804322842626286,0.6980907678991605,73.37978359429655,1.1344264724243083,0.7389023132945867
holdout_rmse_v1,hgb_full,hgb,59,0.6959835407126083,0.695984,0.5496405825508776,0.4761758367831544,6077.358591321797,9553.396142016263,9000.886095779735,0.6751955892621839,0.6654310857552387,68.61029798312704,1.0392683910997191,0.7221011586443514
holdout_rmse_v1,lgb_temporal,lgb,59,0.7183926007000243,0.718393,0.5588244195076024,0.4995595086636709,5820.208628719994,10671.38451589956,9000.886095779735,0.6466261839985873,0.6342985359879699,77.72771215259324,1.138463653858337,0.7237827731639399
holdout_rmse_v1,ridge_contextual_a1,ridge,59,0.8039792788523673,0.803979,0.6240243134047723,0.4599069099495884,6184.394216224618,10503.217317290226,9000.886095779735,0.6870872656775767,0.7074885982864506,75.58801051420139,1.0237707284402509,0.771878524972321
holdout_rmse_v1,ridge_temporal_a1,ridge,59,0.8467006568061995,0.846701,0.655091988141621,0.5113827348830681,5990.035547105109,12228.959254289077,9000.886095779735,0.6654939839660531,0.6830012971317553,93.54142686624292,1.1755273200098206,0.7490453458019452
holdout_rmse_v1,climatology_weekday_slot,climatology,59,0.8948355972952869,0.894836,0.7449056212015989,0.4810210349665639,5644.280127937861,8282.610688169123,9000.886095779735,0.6270804971728625,0.6184358755985039,85.16749223066152,0.6363159310507536,0.6817346210252597
holdout_rmse_v2,lgb_contextual,lgb,59,0.5271571329853805,0.527157,0.35924253913703713,0.42829420933215556,6144.90666780751,7942.4746645242,9000.886095779735,0.6827001922275947,0.6767515492118389,56.90059704451218,0.813673477246939,0.7263388525264798
holdout_rmse_v2,transformer_contextual,transformer,59,0.6827877171860671,0.630545,0.5102804163316322,0.46068073215898325,6214.361781989832,10526.880876492645,9000.886095779735,0.690416667410509,0.7032171839943993,68.95312494216313,0.9758582717891052,0.7647449185694871
holdout_rmse_v2,xgboost_contextual,xgboost,59,0.5240495755334971,0.52405,0.36292501531152643,0.41747754415223426,5891.784848505604,8049.409158587046,9000.886095779735,0.6545783143804139,0.6480515030843108,58.67704497547109,0.7822604480589149,0.735629797791861
holdout_rmse_v2,lstm_contextual,lstm,59,0.5174897636336012,0.528645,0.3312322025488085,0.4310958241714628,5709.509962229146,6733.862539279764,9000.886095779735,0.634327543030033,0.6442929281803578,54.29267319378603,0.6725071092578598,0.7339543831738533
holdout_rmse_v2,catboost_contextual,catboost,59,0.5290323087811635,0.529032,0.3634602553527787,0.4230110373935516,6043.05035389721,7325.525897235905,9000.886095779735,0.671383938158114,0.6739378898443642,53.253345145011025,0.7778503318341623,0.7678320714122564
holdout_rmse_v2,lgb_baseline,lgb,59,0.5625259685360955,0.562526,0.40508780495494523,0.43992715352535305,5786.1008710125425,8402.830520957974,9000.886095779735,0.6428368062257208,0.5850752851528909,70.53022310664151,0.7733419995396524,0.7138709147740703
holdout_rmse_v2,lgb_full,lgb,59,0.5821978536455665,0.582198,0.4250627729984418,0.45872534473570475,6034.93755768376,8518.49007126097,9000.886095779735,0.6704826050974442,0.6928881218019104,58.0661932458416,0.9786490285244619,0.7474125541423616
holdout_rmse_v2,xgboost_full,xgboost,59,0.5860787168882754,0.586079,0.4270039406048544,0.46162583170631577,6086.531913376197,8716.843953253543,9000.886095779735,0.6762147469269723,0.670666302416642,62.867970714257936,0.977623783276651,0.7136948671774874
holdout_rmse_v2,catboost_full,catboost,59,0.586968936190851,0.586969,0.44253856642995715,0.4522677643789135,5591.388207986901,7683.00065597014,9000.886095779735,0.6212041957300789,0.6024906333315532,63.18623813644299,0.8866173209892736,0.7121762976022912
holdout_rmse_v2,catboost_temporal,catboost,59,0.5912632656242082,0.591263,0.42720409863442177,0.45786722528562257,5746.936257782615,7770.919802429019,9000.886095779735,0.6384856109308165,0.6324263373878615,64.6258347810571,0.8845597875837977,0.7182934569092043
holdout_rmse_v2,dlinear_contextual,dlinear,59,0.5990314453380259,0.599031,0.41459645710245846,0.47403529724597465,6186.444630889453,9651.188515758111,9000.886095779735,0.6873150671010163,0.711973371871519,78.16634043110247,0.9987525348869744,0.7272467964042764
holdout_rmse_v2,hgb_full,hgb,59,0.6423273458160477,0.642327,0.49179515641329985,0.46662295625846006,5972.135695609597,8988.632199236521,9000.886095779735,0.6635053073729891,0.6836314595114961,65.84599101767041,1.0070723556021985,0.7298495901046659
holdout_rmse_v2,lgb_temporal,lgb,59,0.6473323283567071,0.647332,0.48418506416789,0.4896389723342221,5825.850153842501,10086.185168124312,9000.886095779735,0.6472529584141811,0.6487389532108448,72.24383970429669,1.101439727506929,0.7326572932746219
