source,model,date,tc,td,idle,realized,predicted,oracle,capture_daily
holdout_rmse_v1,lgb_contextual,2025-12-20,57,69,False,9255.507361013364,7822.781998530387,9255.507361013364,1.0
holdout_rmse_v1,lgb_contextual,2025-12-21,56,69,False,5605.55955733048,5407.4631626137225,7005.358765744449,0.8001816530426884
holdout_rmse_v1,lgb_contextual,2025-12-22,0,25,False,2434.6803072799266,2670.35591828712,4748.357517077977,0.512741574012348
holdout_rmse_v1,lgb_contextual,2025-12-23,54,68,False,10180.357879374313,12980.393514350892,10434.86682635867,0.9756097560975611
holdout_rmse_v1,lgb_contextual,2025-12-24,56,76,False,8236.335826900016,11304.429086268117,9825.502417317695,0.838261035118496
holdout_rmse_v1,lgb_contextual,2025-12-25,54,73,False,10650.152763250899,14875.599158778863,11095.330269230428,0.959877038792248
holdout_rmse_v1,lgb_contextual,2025-12-26,52,71,False,1960.498325429696,12040.233549115253,7346.620268670262,0.2668571742832907
holdout_rmse_v1,lgb_contextual,2025-12-27,57,69,False,2382.340542332592,2843.2767612485504,7411.580496026182,0.3214348874184009
holdout_rmse_v1,lgb_contextual,2025-12-28,55,76,False,9500.09682178901,13312.905645181465,11889.188213940359,0.799053446782003
holdout_rmse_v1,lgb_contextual,2025-12-29,54,85,False,10822.767093819368,19141.09286374269,12388.222994463616,0.8736335387776066
holdout_rmse_v1,lgb_contextual,2025-12-30,53,70,False,3213.1754556775177,18128.557566447616,31559.10942606037,0.10181451612903226
holdout_rmse_v1,lgb_contextual,2025-12-31,54,66,False,2799.5984168279338,11678.308191207614,22576.10161322132,0.124007167614288
holdout_rmse_v1,transformer_contextual,2025-11-03,45,82,False,5376.501505044559,13053.815178573132,13361.719716678786,0.40238095238095234
holdout_rmse_v1,transformer_contextual,2025-11-04,49,69,False,6814.664755854581,7701.50500535965,7323.682649823298,0.9304970029004468
holdout_rmse_v1,transformer_contextual,2025-11-05,0,28,False,2316.5022591095762,6676.406502723694,5662.824070401962,0.4090719101123594
holdout_rmse_v1,transformer_contextual,2025-11-06,58,69,False,-372.438848931397,3325.671136379242,922.5949328182957,-0.403686206896552
holdout_rmse_v1,transformer_contextual,2025-11-07,60,72,False,4085.291720223304,2590.2548134326926,6793.7950222018635,0.6013269029861404
holdout_rmse_v1,transformer_contextual,2025-11-08,49,88,False,7849.316796668253,5320.351481437683,8037.637510627493,0.9765701409512137
holdout_rmse_v1,transformer_contextual,2025-11-09,0,71,False,6180.266210515859,10648.200258612633,12573.171464875311,0.4915439376438305
holdout_rmse_v1,transformer_contextual,2025-11-10,18,70,False,10015.808301063413,9029.4329226017,11155.171685390125,0.8978623174559536
holdout_rmse_v1,transformer_contextual,2025-11-11,59,69,False,6700.266165546949,1843.8790366053584,7485.846206756217,0.8950579507631006
holdout_rmse_v1,transformer_contextual,2025-11-12,18,73,False,9522.070487999272,11252.260446548462,10483.503486127383,0.9082908686585207
holdout_rmse_v1,transformer_contextual,2025-11-13,58,69,False,8784.334947461224,3670.87684571743,9537.757783219018,0.9210062938394823
holdout_rmse_v1,transformer_contextual,2025-11-14,2,68,False,2284.5868371577385,3557.079419493675,3791.572488594169,0.6025433626892922
holdout_rmse_v1,transformer_contextual,2025-11-15,0,88,False,6857.676767894936,7690.753936767578,8345.596517840402,0.8217119954499674
holdout_rmse_v1,transformer_contextual,2025-11-16,53,88,False,7319.7663934015745,4037.0007753372192,9645.889090707162,0.758848284960422
holdout_rmse_v1,transformer_contextual,2025-11-17,56,88,False,3815.0827525718496,1941.459640860558,7342.5831204987235,0.5195831889081456
holdout_rmse_v1,transformer_contextual,2025-11-18,16,73,False,7031.480927790555,8041.229754686356,10104.393321423157,0.6958835334410957
holdout_rmse_v1,transformer_contextual,2025-11-19,49,88,False,8716.931434214255,9485.610961914062,10200.934927737997,0.8545227957989914
holdout_rmse_v1,transformer_contextual,2025-11-20,55,68,False,8462.422487229898,5130.493149161339,8685.117815841211,0.9743589743589743
holdout_rmse_v1,transformer_contextual,2025-11-21,3,68,False,5378.995692725004,7410.264745354652,7103.440151188545,0.7572381238159643
holdout_rmse_v1,transformer_contextual,2025-11-22,54,88,False,2126.702211895992,3019.5335000753394,6264.524578776868,0.3394834173212271
holdout_rmse_v1,transformer_contextual,2025-11-23,0,88,False,726.6675827060637,5175.574362277985,6269.694291762487,0.11590159725344258
holdout_rmse_v1,transformer_contextual,2025-11-24,17,72,False,7519.555916784296,6954.445689916611,10017.17946801529,0.7506659874462795
holdout_rmse_v1,transformer_contextual,2025-11-25,50,88,False,1.9151798260572672,2814.3066167831416,1565.2300239538,0.001223577235772342
holdout_rmse_v1,transformer_contextual,2025-11-26,59,88,False,4878.472034861892,5465.63421189785,7918.575043866373,0.6160795355018697
holdout_rmse_v1,transformer_contextual,2025-11-27,49,72,False,2444.567979870268,3415.758073329925,3235.7981197025892,0.7554760493200839
holdout_rmse_v1,transformer_contextual,2025-11-28,60,72,False,2442.8245935834257,1579.0870115160938,6405.093051558167,0.38138783838419954
holdout_rmse_v1,transformer_contextual,2025-11-29,0,30,False,490.6137157399091,4138.182133436203,5801.283300285127,0.08456985986459167
holdout_rmse_v1,transformer_contextual,2025-11-30,17,87,False,10625.748536596939,9641.647636890411,10816.630246835208,0.9823529411764705
holdout_rmse_v1,transformer_contextual,2025-12-01,58,85,False,4438.903269801532,4860.405623912811,7602.92350373086,0.5838416324487943
holdout_rmse_v1,transformer_contextual,2025-12-02,51,88,False,6215.23573983151,3761.1265629529953,7113.5250682128,0.8737209302325583
holdout_rmse_v1,transformer_contextual,2025-12-03,51,88,False,8323.956894623057,5556.803062558174,9007.2147950591,0.9241432655951711
holdout_rmse_v1,transformer_contextual,2025-12-04,0,27,False,349.9498021034917,8210.26349067688,11898.293271518727,0.02941176470588233
holdout_rmse_v1,transformer_contextual,2025-12-05,49,88,False,4130.9251744176,2011.4890336990347,4598.152699291483,0.8983879928681192
holdout_rmse_v1,transformer_contextual,2025-12-06,50,73,False,28.632256535740197,3884.3597471714015,1382.2635419667454,0.020714035830678833
holdout_rmse_v1,transformer_contextual,2025-12-07,0,73,False,6916.958264371271,10625.612810254097,15016.027872077113,0.46063834745762716
holdout_rmse_v1,transformer_contextual,2025-12-08,49,88,False,7876.806944304402,5157.008342444897,7915.851798133639,0.9950675107587988
holdout_rmse_v1,transformer_contextual,2025-12-09,49,78,False,9225.949328182971,7308.256685733795,10593.934918223893,0.870870870870871
holdout_rmse_v1,transformer_contextual,2025-12-10,49,82,False,3242.2944605743646,14549.9706864357,7441.205337455161,0.43572167592988453
holdout_rmse_v1,transformer_contextual,2025-12-11,50,67,False,6984.88670232139,6507.86817073822,25769.030882166222,0.2710574074074073
holdout_rmse_v1,transformer_contextual,2025-12-12,60,72,False,-5343.055848048976,2223.642647266388,9467.73282781811,-0.5643437499999999
holdout_rmse_v1,transformer_contextual,2025-12-13,15,69,False,-1181.4909777762982,4625.4569962620735,4825.562806145682,-0.24484003736757695
holdout_rmse_v1,transformer_contextual,2025-12-14,0,68,False,2662.6948728832126,6354.655750095844,3981.935636852956,0.6686935992234221
holdout_rmse_v1,transformer_contextual,2025-12-15,43,77,False,11961.920508264817,11956.61124587059,11961.920508264817,1.0
holdout_rmse_v1,transformer_contextual,2025-12-16,49,67,False,9416.831038421238,8766.92008972168,9575.899130286462,0.9833887043189369
holdout_rmse_v1,transformer_contextual,2025-12-17,48,69,False,6873.443597160619,2954.4946253299718,7365.352127168311,0.9332131686965506
holdout_rmse_v1,transformer_contextual,2025-12-18,59,88,False,-3080.6685537919484,1226.1489555239675,4304.280762294158,-0.7157220274241518
