comparison,block_length,n_days,difference_mean,paired_iid_se,ci_low,ci_high,replicates,seed
headline_vs_reference,7,59,479.513243311522,451.61691024350444,-227.86996731564201,1626.2763094635384,10000,20260922
headline_vs_reference,1,59,479.513243311522,451.61691024350444,-195.48887217683347,1494.1325923845304,10000,20260916
headline_vs_reference,3,59,479.513243311522,451.61691024350444,-203.28986527346365,1535.2825169445769,10000,20260918
headline_vs_single_seed_mean,7,59,318.52008243785184,322.500743771925,-155.46191900728678,988.4395596228951,10000,20260922
headline_vs_single_seed_mean,1,59,318.52008243785184,322.500743771925,-164.19692408162717,1045.9550983197553,10000,20260916
headline_vs_single_seed_mean,3,59,318.52008243785184,322.500743771925,-160.65725408800907,1009.2675484161686,10000,20260918
