source,model,date,tc,td,idle,realized,predicted,oracle,capture_daily,point_mse,point_mae,centered_mse,block_mse,listwise_ce,listwise_proxy,window_spearman,pred_centered_ms,true_centered_ms
holdout_rmse_v1,lgb_contextual,2025-11-03,55,82,False,5376.501505044559,17739.985426532756,13361.719716678786,0.40238095238095234,0.7066118041730611,0.5934212583824688,0.4916811543108533,25.214995679372738,29.8150241474403,84.84504397425334,0.7146939444040419,0.6237544092874006,0.32215497788400693
holdout_rmse_v1,lgb_contextual,2025-11-04,51,70,False,7005.546466092851,12115.697697316293,7323.682649823298,0.9565606268127794,0.20932274206356358,0.39134449777907165,0.16663552596378708,8.84218324309553,4.059037230214945,16.96025770352542,0.919328536528778,0.460963028507064,0.21680532251214835
holdout_rmse_v1,lgb_contextual,2025-11-05,2,24,False,5281.060649925424,7628.349020802705,5662.824070401962,0.9325842696629211,0.32359669717793177,0.499009376167516,0.16457494717511728,2.6817482210264423,8.519423560020323,19.72059534106709,0.68750654832434,0.09639743050758424,0.15898652379651337
holdout_rmse_v1,lgb_contextual,2025-11-06,53,69,False,41.13818991818263,4998.472798222999,922.5949328182957,0.04458965517241223,0.07154115786953981,0.22894053354416055,0.06455448495014862,3.39050108286323,19.746563451318057,42.883627985499345,0.13161054050944654,0.06599583723129476,0.04529465692432927
holdout_rmse_v1,lgb_contextual,2025-11-07,58,70,False,3818.124134488312,2462.3362273576263,6793.7950222018635,0.5620016679942252,0.08934247033268754,0.2609805820685988,0.08525363474677881,4.0540837148774616,17.80340986287622,39.6609034406299,0.5162084863570767,0.012610830362771558,0.08807354379416694
holdout_rmse_v1,lgb_contextual,2025-11-08,59,78,False,7143.783000647404,3527.6829437036204,8037.637510627493,0.8887913881662093,0.0753515432915585,0.21630976256404297,0.06957755585479068,3.556477329004033,9.513567945735984,22.583613220476,0.9200849059367484,0.021972843813680098,0.14785993609250386
holdout_rmse_v1,lgb_contextual,2025-11-09,54,72,False,12393.313173403303,14531.70308444292,12573.171464875311,0.9856950736753679,0.08474845028398544,0.24382566723479612,0.08400380011860582,4.303129681239992,8.002621843365887,20.308373367971765,0.9144181996133754,0.3501339052998551,0.3027527188609949
holdout_rmse_v1,lgb_contextual,2025-11-10,47,75,False,10473.304040076982,13490.591218256644,11155.171685390125,0.9388743029203054,0.057195508797761425,0.19815934223369022,0.05511517714010211,2.1265411060316826,16.07377779998696,34.2740967060056,0.9094108063332177,0.35344645326567226,0.2859203443779034
holdout_rmse_v1,lgb_contextual,2025-11-11,56,74,False,6846.9396716940355,3251.1458024153567,7485.846206756217,0.9146513944561742,0.07050873166299261,0.24380698246708551,0.06653459223855121,3.2096368041263093,7.647050875481304,18.503738555088916,0.9050895202269863,0.2374695019859503,0.2548910039579649
holdout_rmse_v1,lgb_contextual,2025-11-12,37,75,False,9644.027994032338,14897.865561260714,10483.503486127383,0.919924146235473,0.20726494936807158,0.41010244767193904,0.050222921999888724,2.1885510584492995,23.60750519103443,49.40356144051816,0.8996103985659206,0.4766404384329901,0.29546225909521023
holdout_rmse_v1,lgb_contextual,2025-11-13,56,69,False,9330.03394341406,4434.555807106577,9537.757783219018,0.9782208937859135,0.10918370036365595,0.28440754172341726,0.10449385802123483,5.209443578000557,13.429526736250846,32.06849705050225,0.8526720096344462,0.21916953486967997,0.2790241374148612
holdout_rmse_v1,lgb_contextual,2025-11-14,58,70,False,3598.3015756160844,2909.598537285167,3791.572488594169,0.9490261854258403,0.04692117208059527,0.19809507872678864,0.021315226790927205,0.719147409644351,16.863223061445826,34.445593532536,0.7158093453503677,0.011959416167658813,0.031384215411443046
