version,metric,control,partial_pearson,block_length,ci_low,ci_high,amplitude_realized_pearson
v1,listwise_proxy,centered_amplitude_ratio,0.058541522428447235,7,-0.442981547838717,0.33548231840653153,0.5805873434686623
v1,listwise_proxy,centered_amplitude_ratio,0.058541522428447235,1,-0.42390757336520146,0.3628404644690661,0.5805873434686623
v1,listwise_proxy,centered_amplitude_ratio,0.058541522428447235,3,-0.41993512561362895,0.33437145016410286,0.5805873434686623
v1,window_spearman,centered_amplitude_ratio,0.8240543637358437,7,0.4482632901241206,0.8675208514612646,0.5805873434686623
v1,window_spearman,centered_amplitude_ratio,0.8240543637358437,1,0.42431168080982556,0.8715952453417721,0.5805873434686623
v1,window_spearman,centered_amplitude_ratio,0.8240543637358437,3,0.4325007265533425,0.869256504034129,0.5805873434686623
v2,listwise_proxy,centered_amplitude_ratio,-0.3608218667811807,7,-0.6643938771738572,0.022890337552046128,0.4957437920712982
v2,listwise_proxy,centered_amplitude_ratio,-0.3608218667811807,1,-0.6824609363127959,0.09758913210511794,0.4957437920712982
v2,listwise_proxy,centered_amplitude_ratio,-0.3608218667811807,3,-0.6733611476131255,0.0698317877112693,0.4957437920712982
v2,window_spearman,centered_amplitude_ratio,0.7128798904539361,7,0.14222600230041105,0.8072512637845213,0.4957437920712982
v2,window_spearman,centered_amplitude_ratio,0.7128798904539361,1,0.2431253891806142,0.8359552096803533,0.4957437920712982
v2,window_spearman,centered_amplitude_ratio,0.7128798904539361,3,0.20278933832577853,0.8137229359189608,0.4957437920712982
