bag,single_seed_mean,single_seed_sd,single_seed_min,single_seed_max,curve_mean_score,ensemble_increment,capture
window_ce_lstm,6050.108178172576,242.7451715034471,5699.286682925662,6301.350028314183,6114.310486511799,64.20230833922324,0.6793009512006412
listwise_transformer,6375.3549428635015,118.8043122375057,6257.761327039081,6551.772866507539,6693.875025301354,318.5200824378526,0.7436906715706496
spo_lstm,6431.252063480199,115.84426614224759,6239.067159590596,6546.560555626133,6476.013317670035,44.76125418983611,0.7194861982206905
